job_title,company_name,job_type
Graphic Designer,Confidential,Full TimeOn site
Graphic Designer,Egyptian Cultural Center,Full TimeOn site
3D designer (POSM in stores  stands Gondolas floor display),Touch Media International,Full TimeOn site
Graphic Designer,Confidential,Part TimeRemote
Graphic Designer,Nile Projects & Trading,Full TimeOn site
Graphic Designer (IMMEDIATE JOINER   MALE),Tadafuq Information Technology,Full TimeOn site
Graphic Designer,Golf Aviation Academy,Full TimeOn site
Graphic Designer,SwiftMart,Full TimeHybrid
Graphic Designer,GT World OF Beauty,Full TimeHybrid
Graphic Designer,PICO,Full TimeOn site
Graphic Designer,eDeltasoft,Full TimeOn site
3D designer ( Booths  Roadshow  Exhibition and Events),Touch Media International,Full TimeOn site
Graphic and Motion Designer,iproperties,Full TimeOn site
Graphic Designer,Emad Lotfy for Import and Export,Full TimeHybrid
Graphic Designer,Atum Egypt,Full TimeOn site
Senior Motion Graphic Designer,M ² Measurable Marketing,Full TimeOn site
Game & Animation Designer,Arabia for Information Technology,Freelance / ProjectHybrid
Graphic Designer,Al Tamimi,Full TimeOn site
Senior Interior Designer,EGYGAB Developments,Full TimeOn site
Graphic Designer,Nerva,Full TimeOn site
Senior Graphic Designer,New Era Education,Full TimeOn site
Senior Graphic Designer,BTC Egypt Gold,Full TimeOn site
Social Media Graphic Designer,Samman  Engineering & Consulting,Full TimeOn site
Senior Graphic Designer,Creator Hub,Full TimeRemote
Junior Architect/Landscape Architect,Land Design,Full TimeOn site
Senior Graphic Designer,Ackoo,Full TimeHybrid
Art Director,jeel,Full TimeOn site
Senior Digital Account Manager,M ² Measurable Marketing,Full TimeOn site
Graphic Designer,Easy Cash,Full TimeOn site
Motion Graphic Designer,Confidential,Full TimeOn site
Artwork Designer,INDEVCO,Full TimeOn site
Senior Graphic Designer,Seven,Full TimeOn site
Senior UIUX Designer,Easy Cash,Full TimeOn site
Graphic Designer,Truepack,Full TimeOn site
Graphic Designer,Logic Designs,Full TimeOn site
Creative Manager,Confidential,Full TimeOn site
Junior Graphic Designer,Human Quality,Full TimeOn site
Graphic Designer,teeoro,Full TimeOn site
Graphic Designer,Rawmart,Full TimeOn site
Graphic Designer,Safwa Urban Development,Full TimeOn site
Graphic Designer,TarekOmran Inc.,Full TimeRemote
Motion Graphic Designer,Deli Techno,Full TimeOn site
UI UX Designer,Atom,Full TimeRemote
Senior Graphic Designer,Alamki,Full TimeOn site
2D Graphic Designer,BEDO Company,Full TimeOn site
Senior graphic designer,NOK for Human Capital Solutions,Full TimeOn site
Graphic Designer,Confidential,Full TimeOn site
Graphic Designer,Home of Hope,Full TimeOn site
UI/UX Designer,Bnaia,InternshipOn site
Graphic Designer,intrazero,Full TimeOn site
Graphic Designer,Cultiv,Full TimeOn site
Project Based UI/UX Designer,Tech Town,Freelance / ProjectRemote
Senior Graphic Designer,ZINAD IT,Full TimeHybrid
Graphic Designer,Confidential,Full TimeOn site
Art Director,Jump,Full TimeRemote
Senior Graphic Designer,Jump,Full TimeRemote
Senior Graphic Designer,Bee Seen LTD,Full TimeOn site
Visual Merchandiser,Tie House,Full TimeOn site
Graphic Designer,Taheal,Full TimeOn site
Motion Graphics Designer,Mico World Limited,Full TimeOn site
Graphic Designer,Wakeb Data,Full TimeOn site
Motion Graphic Designer,Ola Chat,Full TimeOn site
Visualizer,El Mansour Development,Full TimeOn site
Senior UI/UX Designer,Nahdet Misr Publishing Group,Full TimeHybrid
Design Engineer,Epsco,Full TimeOn site
Senior UI / UX Designer,Akwad,Full TimeOn site
Graphic Designer   part time,Mahmoud Electric,Part TimeHybrid
Graphic Designer,dot story,Full TimeHybrid
Graphic Designer,Bakier,Full TimeOn site
Graphic Designer / Finalizer,SAH ADV,Full TimeOn site
Graphic Designer,RUSHBRUSH INC,Full TimeOn site
Senior Graphic designer,e motion,Full TimeOn site
Design Manager,Elgabaly Architects,Full TimeRemote
Graphic Designer,Bees Studio L.L.C,Part TimeRemote
Senior Graphic Designer,Arab Mechanical Engineers,Full TimeOn site
